Qseqid	Sseqid	Pident	Length	Mismatch	Gapopen	Qstart	Qend	Sstart	Send	Evalue	Bitscore
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2547781;End=2549136;Strand=-	Seqid=LMGT_4071_3;Start=57667;End=59022;Strand=+	99.189	1356	11	0	1	1356	1	1356	0	2444
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2546346;End=2547479;Strand=-	Seqid=LMGT_4071_3;Start=59323;End=60456;Strand=+	98.325	1134	19	0	1	1134	1	1134	0	1989
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2545726;End=2545959;Strand=-	Seqid=LMGT_4071_3;Start=60835;End=61068;Strand=+	99.145	234	2	0	1	234	1	234	3.53e-119	422
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2544614;End=2545729;Strand=-	Seqid=LMGT_4071_3;Start=61065;End=62180;Strand=+	99.283	1116	8	0	1	1116	1	1116	0	2017
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2542670;End=2544604;Strand=-	Seqid=LMGT_4071_3;Start=62190;End=64124;Strand=+	99.638	1935	7	0	1	1935	1	1935	0	3535
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2539873;End=2542572;Strand=-	Seqid=LMGT_4071_3;Start=64222;End=66921;Strand=+	99.296	2700	19	0	1	2700	1	2700	0	4881
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2537017;End=2538303;Strand=-	Seqid=LMGT_4071_3;Start=68490;End=69776;Strand=+	99.301	1287	9	0	1	1287	1	1287	0	2327
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2535875;End=2536570;Strand=-	Seqid=LMGT_4071_3;Start=70226;End=70921;Strand=+	99.713	696	2	0	1	696	1	696	0	1275
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2534284;End=2535252;Strand=-	Seqid=LMGT_4071_3;Start=71545;End=72513;Strand=+	97.936	969	20	0	1	969	1	969	0	1679
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2533234;End=2534145;Strand=-	Seqid=LMGT_4071_3;Start=72652;End=73563;Strand=+	99.451	911	5	0	2	912	2	912	0	1655
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2531239;End=2533206;Strand=-	Seqid=LMGT_4071_3;Start=73591;End=75558;Strand=+	98.323	1968	33	0	1	1968	1	1968	0	3452
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2530796;End=2531242;Strand=-	Seqid=LMGT_4071_3;Start=75555;End=76001;Strand=+	97.092	447	13	0	1	447	1	447	0	754
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2529199;End=2530599;Strand=-	Seqid=LMGT_4071_3;Start=76208;End=77608;Strand=+	98.787	1401	17	0	1	1401	1	1401	0	2494
Seqid=NZ_CP013911.1_chromosome_complete_genome;Start=2527637;End=2528920;Strand=-	Seqid=LMGT_4071_3;Start=77886;End=79169;Strand=+	98.754	1284	16	0	1	1284	1	1284	0	2283
