Query	Hit	Evalue	Score	Start	Stop	Description
Seqid=NZ_CP071505.1;End=353969;Strand=+	PF03807.19	0.22	12.3	148	217	NADP oxidoreductase coenzyme F420-dependent
Seqid=NZ_CP071505.1;Start=2217759;Strand=-	PF01135.21	7.5e-4	19.4	17	120	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)
Seqid=NZ_CP071505.1;Start=1669174;Strand=-	PF02779.26	4.4e-37	127.6	3	178	Transketolase, pyrimidine binding domain
Seqid=NZ_CP071505.1;Start=1060455;Strand=-	PF00389.32	2.1e-35	121.4	5	314	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
Seqid=NZ_CP071505.1;Start=1679452;Strand=-	PF05524.15	5.4e-33	113.7	6	127	PEP-utilising enzyme, N-terminal
Seqid=NZ_CP071505.1;Start=221176;Strand=-	PF01978.21	0.0015	18.5	18	61	Sugar-specific transcriptional regulator TrmB
Seqid=NZ_CP071505.1;Start=1501220;Strand=-	PF11711.10	0.5	9.2	70	141	Inner membrane protein import complex subunit Tim54
Seqid=NZ_CP071505.1;End=545849;Strand=+	PF13434.8	3.2e-4	20	77	189	L-lysine 6-monooxygenase (NADPH-requiring)
Seqid=NZ_CP071505.1;End=109979;Strand=+	PF13401.8	0.58	10.5	33	59	AAA domain
Seqid=NZ_CP071505.1;Start=507234;Strand=-	PF16888.7	0.041	14.3	238	313	Domain of unknown function (DUF5082)
Seqid=NZ_CP071505.1;End=320472;Strand=+	PF13191.8	0.0035	17.8	5	54	AAA ATPase domain
Seqid=NZ_CP071505.1;End=161540;Strand=+	PF00196.21	0.0032	17.1	23	49	Bacterial regulatory proteins, luxR family
Seqid=NZ_CP071505.1;Start=152658;Strand=-	PF12868.9	0.25	12.1	390	444	Domain of unknwon function (DUF3824)
Seqid=NZ_CP071505.1;End=1211427;Strand=+	PF01695.19	3.3e-5	23.6	81	162	IstB-like ATP binding protein
Seqid=NZ_CP071505.1;End=64996;Strand=+	PF00924.20	4.1e-36	124.6	108	311	Mechanosensitive ion channel
Seqid=NZ_CP071505.1;End=1384580;Strand=+	PF15102.8	0.21	11.5	66	109	TMEM154 protein family
Seqid=NZ_CP071505.1;End=832987;Strand=+	PF13527.9	0.36	11.1	11	129	Acetyltransferase (GNAT) domain
Seqid=NZ_CP071505.1;Start=1572728;Strand=-	PF13561.8	0.0018	18	217	311	Enoyl-(Acyl carrier protein) reductase
Seqid=NZ_CP071505.1;End=88130;Strand=+	PF12832.9	7.1e-4	18.6	50	359	MFS_1 like family
Seqid=NZ_CP071505.1;Start=1799672;Strand=-	PF00208.23	5e-77	259	183	414	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
Seqid=NZ_CP071505.1;End=689117;Strand=+	PF07261.13	7.2e-17	61	274	346	Replication initiation and membrane attachment
Seqid=NZ_CP071505.1;End=1252301;Strand=+	PF08317.13	0.084	12.3	8	48	Spc7 kinetochore protein
Seqid=NZ_CP071505.1;End=117369;Strand=+	PF12728.9	0.14	12.5	36	59	Helix-turn-helix domain
Seqid=NZ_CP071505.1;End=759870;Strand=+	PF13508.9	3.5e-4	20.9	64	146	Acetyltransferase (GNAT) domain
Seqid=NZ_CP071505.1;Start=2332813;Strand=-	PF09843.11	0.76	8.1	17	113	Predicted membrane protein (DUF2070)
Seqid=NZ_CP071505.1;Start=1473314;Strand=-	PF06133.13	7.7e-16	58.7	7	111	Control of competence regulator ComK, YlbF/YmcA
Seqid=NZ_CP071505.1;Start=2123405;Strand=-	PF00383.25	1e-29	102.4	1	101	Cytidine and deoxycytidylate deaminase zinc-binding region
Seqid=NZ_CP071505.1;Start=2333396;Strand=-	PF01978.21	0.0071	16.3	129	166	Sugar-specific transcriptional regulator TrmB
Seqid=NZ_CP071505.1;Start=2212056;Strand=-	PF13649.8	0.0037	18	53	129	Methyltransferase domain
Seqid=NZ_CP071505.1;Start=1366884;Strand=-	PF01168.22	7.4e-39	133.7	8	224	Alanine racemase, N-terminal domain
Seqid=NZ_CP071505.1;Start=2154743;Strand=-	PF00467.31	1.3e-5	25	131	164	KOW motif
Seqid=NZ_CP071505.1;End=1399320;Strand=+	PF03807.19	9.9e-5	23	4	92	NADP oxidoreductase coenzyme F420-dependent
Seqid=NZ_CP071505.1;End=592847;Strand=+	PF13726.8	0.002	18.3	231	315	Na+-H+ antiporter family
Seqid=NZ_CP071505.1;Start=1978855;Strand=-	PF00083.26	4.6e-4	19.3	345	396	Sugar (and other) transporter
Seqid=NZ_CP071505.1;End=161540;Strand=+	PF13730.8	0.16	12	20	46	Helix-turn-helix domain
Seqid=NZ_CP071505.1;Start=1934721;Strand=-	PF13304.8	0.058	13.3	29	51	AAA domain, putative AbiEii toxin, Type IV TA system
Seqid=NZ_CP071505.1;Start=219180;Strand=-	PF00931.24	0.067	12.5	32	156	NB-ARC domain
Seqid=NZ_CP071505.1;End=1237466;Strand=+	PF17601.4	0.12	12.7	87	119	Family of unknown function (DUF5497)
Seqid=NZ_CP071505.1;Start=1993603;Strand=-	PF13555.8	0.003	17.4	37	59	P-loop containing region of AAA domain
Seqid=NZ_CP071505.1;End=1416764;Strand=+	PF10654.11	0.07	13.2	309	377	Protein of unknown function (DUF2481)
Seqid=NZ_CP071505.1;Start=1643154;Strand=-	PF11104.10	0.064	12.3	85	161	Type IV pilus assembly protein PilM;
Seqid=NZ_CP071505.1;End=1108294;Strand=+	PF19754.1	0.11	12.9	343	407	Family of unknown function (DUF6241)
Seqid=NZ_CP071505.1;Start=1361582;Strand=-	PF19284.1	0.45	10.7	125	160	Arc MA domain
Seqid=NZ_CP071505.1;End=1392320;Strand=+	PF10541.11	0.081	13.2	18	51	Nuclear envelope localisation domain
Seqid=NZ_CP071505.1;Start=1019449;Strand=-	PF01494.21	0.007	15.7	3	34	FAD binding domain
Seqid=NZ_CP071505.1;End=97404;Strand=+	PF14512.8	2.7e-6	27.3	42	80	Putative TM nitroreductase
Seqid=NZ_CP071505.1;End=675124;Strand=+	PF07728.16	0.15	12.2	38	76	AAA domain (dynein-related subfamily)
Seqid=NZ_CP071505.1;End=1308418;Strand=+	PF13477.8	8.5e-13	48.7	24	147	Glycosyl transferase 4-like
Seqid=NZ_CP071505.1;End=1707626;Strand=+	PF10329.11	0.046	13.2	11	92	Region of unknown function (DUF2417)
