Assembly Name	Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Isolate	Organism Infraspecific Names Ecotype	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	Annotation Count Gene Total	Annotation Count Gene Protein-coding
ASM161195v1	GCF_001611955.1	Staphylococcus haemolyticus		S167				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2560146	Complete Genome	2016-04-06	2523	2379
Willow Endophyte RIT283	GCF_000627275.1	Staphylococcus haemolyticus		RIT283				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2527922	Contig	2014-04-11	2562	2393
ASM76370v1	GCF_000763705.1	Staphylococcus haemolyticus		C10D				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2440251	Contig	2014-10-06	2427	2314
ASM76372v1	GCF_000763725.1	Staphylococcus haemolyticus		C10F				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2458301	Contig	2014-10-06	2441	2331
ASM76406v1	GCF_000764065.1	Staphylococcus haemolyticus		C10A				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2430312	Contig	2014-10-06	2452	2324
ASM98114v1	GCF_000981145.1	Staphylococcus haemolyticus		1HT3				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2403066	Contig	2015-04-27	2429	2282
7068_7#27	GCF_001047775.1	Staphylococcus haemolyticus		96671				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2473962	Contig	2015-06-30	2482	2350
ASM106970v1	GCF_001069705.1	Staphylococcus haemolyticus		1328_SHAE				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2587051	Scaffold	2015-07-10	2644	2518
ASM107047v1	GCF_001070475.1	Staphylococcus haemolyticus		1292_SHAE				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2596018	Scaffold	2015-07-10	2622	2508
ASM107155v1	GCF_001071555.1	Staphylococcus haemolyticus		164_SHAE				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2423577	Scaffold	2015-07-10	2404	2304
